Id,Season,Episode,Chunk,Ex,Ey,Px,Py
0,7.0,1.0,1.0,1.0,1.0,1.0,1.0
1,7.0,1.0,2.0,0.5,0.9,-0.2,0.0
2,7.0,1.0,3.0,0.2,0.5,-0.1,0.0
3,7.0,1.0,4.0,0.3,0.6,-0.1,0.0
4,7.0,1.0,5.0,0.3,0.5,-0.3,0.2
5,7.0,1.0,6.0,0.6,0.2,-0.4,0.3
6,7.0,1.0,7.0,0.8,0.0,-0.1,0.0
7,7.0,1.0,8.0,0.9,0.1,-0.3,-0.3
8,7.0,1.0,9.0,0.9,0.4,-0.5,-0.5
9,7.0,1.0,10.0,0.6,0.3,0.1,-0.2
10,7.0,2.0,1.0,0.2,0.3,0.75,-0.3
11,7.0,2.0,2.0,-0.1,0.2,-0.3,-0.5
12,7.0,2.0,3.0,0.1,0.4,0.1,-0.6
13,7.0,2.0,4.0,0.0,0.0,-0.2,0.2
14,7.0,2.0,5.0,-0.1,-0.1,0.2,0.2
15,7.0,2.0,6.0,0.3,0.5,0.7,0.8
16,7.0,2.0,7.0,0.6,-0.3,0.5,-0.6
17,7.0,2.0,8.0,0.9,0.2,0.7,-0.2
18,7.0,2.0,9.0,0.3,0.1,-0.1,0.1
19,7.0,2.0,10.0,0.0,0.0,0.3,-0.2
20,7.0,3.0,1.0,0.3,0.2,0.8,-0.2
21,7.0,3.0,2.0,0.5,0.3,-0.2,-0.3
22,7.0,3.0,3.0,0.6,0.2,-0.1,-0.2
23,7.0,3.0,4.0,0.4,0.0,0.0,0.0
24,7.0,3.0,5.0,-0.9,0.5,-0.1,-0.1
25,7.0,3.0,6.0,-0.5,0.5,0.0,0.0
26,7.0,3.0,7.0,0.3,-0.1,-0.3,-0.2
27,7.0,3.0,8.0,0.1,0.0,-0.1,0.0
28,7.0,3.0,9.0,0.1,0.1,0.0,0.1
29,7.0,3.0,10.0,0.0,0.0,0.2,0.0
30,7.0,4.0,1.0,0.1,0.2,0.5,-0.4
31,7.0,4.0,2.0,0.4,0.1,-0.2,-0.5
32,7.0,4.0,3.0,0.3,-0.2,-0.3,0.2
33,7.0,4.0,4.0,0.1,0.0,-0.3,0.1
34,7.0,4.0,5.0,0.2,0.1,-0.1,0.0
35,7.0,4.0,6.0,0.0,0.0,0.0,0.0
36,7.0,4.0,7.0,0.4,0.1,-0.1,-0.3
37,7.0,4.0,8.0,0.5,-0.3,0.0,0.0
38,7.0,4.0,9.0,0.6,-0.5,0.0,0.0
39,7.0,4.0,10.0,0.3,-0.2,-0.5,-0.3
40,7.0,5.0,1.0,0.6,0.3,0.5,-0.4
41,7.0,5.0,2.0,0.5,0.4,0.2,-0.1
42,7.0,5.0,3.0,0.5,0.3,-0.2,0.0
43,7.0,5.0,4.0,0.6,0.0,-0.1,0.0
44,7.0,5.0,5.0,0.5,-0.3,0.0,0.0
